gene,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,fdr
Camk2g,0.7625050020008003,0.2374949979991997,1.1664624772727108,0.000911002,0.00068917585,1.839682e-08,0.1,0.42205846,0.42277622,0.45343196,-1.259779,2.0329828,2.7351987,1.564512,0.8817005545286151,0.7280966767371373,10.243884,6.775884,False,RES_vs_CON,CURES,CON,0.7657679528590993
Nup133,0.7619047619047619,0.23809523809523814,1.1631507809306814,1.3489333e-05,3.1699296e-05,1.839682e-08,0.1,-1.0653187,-1.0363846,1.3610524,-5.705612,3.7990198,0.030961191,0.028485127,0.03003696857670977,0.026758739749676342,0.12213741,0.12224883,False,RES_vs_CON,CURES,CON,0.7652119232482378
Atcayos,0.7619047619047619,0.23809523809523814,1.1631507809306814,6.3060156e-07,1.5745924e-07,1.839682e-08,0.1,1.6771694,1.5473814,2.1740637,-5.7599106,12.090012,0.00046210721,0.0,0.0004621072088724584,0.0,0.0017464369,0.0,False,RES_vs_CON,CURES,CON,0.7652119232482378
Rpl24,0.7613045218087235,0.23869547819127646,1.1598448194388356,4.9368104e-05,7.7319695e-05,1.839682e-08,0.1,-0.65153617,-0.6442442,0.7643307,-3.937663,1.8209105,0.17744859,0.19637485,0.15249537892791232,0.16184721622788173,0.7278322,0.8906452,False,RES_vs_CON,CURES,CON,0.7647025792891293
Tnfrsf11a,0.7603041216486595,0.23969587835134054,1.1543475384721824,4.617006e-06,1.29012515e-05,1.839682e-08,0.1,-1.570417,-1.5360146,2.026469,-8.3460245,5.4476013,0.0060073943,0.0064738886,0.006007393715341957,0.006042296072507553,0.02336546,0.030256052,False,RES_vs_CON,CURES,CON,0.763744411791866
Gm12122,0.7599039615846338,0.2400960384153662,1.1521530271056977,9.36857e-07,2.9555122e-07,1.839682e-08,0.1,1.8960023,1.8662844,2.5676618,-8.717136,12.277561,0.00046210721,0.0,0.0004621072088724584,0.0,0.0018440032,0.0,False,RES_vs_CON,CURES,CON,0.7633891200949284
Gapdh,0.759703881552621,0.24029611844737897,1.1510567096995223,0.00013392683,0.000223373,1.839682e-08,0.1,-0.65737224,-0.6501527,0.81110656,-4.2548933,3.4119987,0.4847507,0.5796325,0.3844731977818894,0.4065602071644401,1.9483075,2.5697267,False,RES_vs_CON,CURES,CON,0.7632347948964322
Foxo4,0.7593037214885955,0.24069627851140452,1.1488659454788783,8.882807e-06,4.0970895e-06,1.839682e-08,0.1,1.300741,1.2779827,1.7075449,-4.433098,7.8438396,0.011090575,0.006042296,0.011090573012939003,0.006042296072507553,0.042778827,0.027677929,False,RES_vs_CON,CURES,CON,0.7628794285740718
Rps3a1,0.757703081232493,0.24229691876750703,1.1401276562748088,2.9377388e-05,4.9463786e-05,1.839682e-08,0.1,-0.7292922,-0.7310386,0.9083534,-4.2837696,3.6933422,0.12615529,0.13249876,0.11506469500924271,0.12041432887354382,0.5108939,0.58420306,False,RES_vs_CON,CURES,CON,0.7613178115282809
Etfbkmt,0.756702681072429,0.243297318927571,1.134686158805548,1.16962265e-05,3.563075e-05,1.839682e-08,0.1,-1.4403286,-1.3605356,1.9136564,-7.749592,6.725418,0.0189464,0.028485129,0.01802218114602588,0.025895554596460976,0.07213632,0.12537386,False,RES_vs_CON,CURES,CON,0.7603591439634145
Dnah6,0.7565026010404161,0.2434973989595839,1.133599683053931,1.9213655e-06,5.7870415e-07,1.839682e-08,0.1,2.0350947,1.9984503,2.699993,-6.7281265,12.171806,0.002310536,0.0,0.002310536044362292,0.0,0.009237157,0.0,False,RES_vs_CON,CURES,CON,0.760204595662586
Serpinb9,0.7565026010404161,0.2434973989595839,1.133599683053931,3.4403797e-06,1.0794394e-05,1.839682e-08,0.1,-1.5626504,-1.5631514,2.1370609,-8.373214,6.7948437,0.008780038,0.012947777,0.008780036968576708,0.012084592145015113,0.036231462,0.056027096,False,RES_vs_CON,CURES,CON,0.760204595662586
Rpl15,0.7557022809123649,0.2442977190876351,1.1292598209008162,2.6849906e-05,4.151983e-05,1.839682e-08,0.1,-0.60144866,-0.6018486,0.7365592,-3.294013,2.1851873,0.10212572,0.11437184,0.09796672828096153,0.10660336642209785,0.41161463,0.5215341,False,RES_vs_CON,CURES,CON,0.7594932748579671
