gene,logFC_CON_vs_CON,logFC_CSRES_vs_CON,logFC_CSSUS_vs_CON,logFC_CURES_vs_CON,logFC_CUSUS_vs_CON
Sgpp2,0.0,0.21885136,0.07216454,0.30469483,-0.14669146
Gm28410,0.0,0.04175758,-0.019010432,-0.0758406,-0.07381402
Farsb,0.0,-0.012190402,0.08395333,-0.05365447,0.08186942
Acsl3,0.0,0.22923085,0.040848494,0.13445857,-0.0031349212
Utp14b,0.0,-0.36338258,-0.19563004,-0.23516378,-0.3217364
Gm29536,0.0,-0.009866163,-0.1593931,-0.009837877,0.12831894
Scg2,0.0,0.13801478,-0.037421003,-0.047055066,0.13092265
Ap1s3,0.0,0.0390691,-0.062867746,0.12252573,-0.00079010427
Wdfy1,0.0,0.023136176,0.006047122,0.09623329,0.074507445
Mrpl44,0.0,0.24556684,-0.08116692,-0.009147681,0.15642822
Serpine2,0.0,-0.041950196,0.08248665,0.07343503,0.016694322
Cul3,0.0,0.09951356,0.23278664,0.06577005,0.03899242
Dock10,0.0,0.038174223,-0.055559263,-0.08431345,-0.09725544
Nyap2,0.0,0.3563146,0.239405,0.26871234,0.017429024
Irs1,0.0,-0.059400536,0.12896387,0.036585703,-0.0638076
Rhbdd1,0.0,0.072358415,0.06520154,0.20911019,0.112823576
